
text,department
Street light not working,Electricity
Street light band hai,Electricity
Light nahi jal rahi road par,Electricity
Electricity chali gayi hai,Electricity
Bijli nahi aa rahi,Electricity
Power cut ho gaya hai,Electricity
Frequent power outage ho raha hai,Electricity
Voltage fluctuation ho raha hai,Electricity
Low voltage issue hai,Electricity
High voltage problem hai,Electricity
Electric pole gir gaya hai,Electricity
Electric pole damaged hai,Electricity
Transformer kharab hai,Electricity
Transformer blast ho gaya,Electricity
Electric wire toot gaya hai,Electricity
Open electric wire pada hai,Electricity
Short circuit ho raha hai,Electricity
Meter kharab hai,Electricity
Electric meter not working,Electricity
Electric bill issue hai,Electricity
Bill zyada aa raha hai,Electricity
Street lighting problem hai,Electricity
No electricity since morning,Electricity
Electric supply band hai,Electricity
Electric fault ho gaya hai,Electricity


Water leakage ho raha hai,Water
Pipeline leak ho raha hai,Water
Pani supply band hai,Water
No water supply,Water
Dirty water aa raha hai,Water
Ganda pani aa raha hai,Water
Water contamination ho gaya hai,Water
Pipeline toot gaya hai,Water
Pipe burst ho gaya hai,Water
Water tank overflow ho raha hai,Water
Water pressure low hai,Water
Pani pressure kam hai,Water
Tap me pani nahi aa raha,Water
Water shortage ho raha hai,Water
Water connection issue hai,Water
Supply irregular hai,Water
Water timing issue hai,Water
Pani bahut kam aa raha hai,Water
Water pipeline repair chahiye,Water
Water issue in area,Water
pani nahi aa raha,Water 
water supply band hai,Water 
pani supply nahi ho rahi,Water 
no water in area,Water 
dirty water aa raha hai,Water 
ganda pani aa raha hai,Water 
water leakage ho raha hai,Water 
pipeline toot gaya hai,Water 
pipe burst ho gaya,Water p
ani pressure kam hai,Water 
water shortage hai,Water 
tap me pani nahi aa raha,Water 
water problem in area,Water

Road me gaddha hai,Road
Bada pothole hai road par,Road
Road toot gaya hai,Road
Road damaged hai,Road
Road uneven hai,Road
Road construction incomplete hai,Road
Road repair nahi hua,Road
Gaddha ki wajah se accident hua,Road
Traffic jam ho raha hai,Road
Road par pani bhar gaya,Road
Waterlogging on road,Road
Road slippery ho gaya hai,Road
Road block ho gaya hai,Road
Road condition bahut kharab hai,Road
Main road damage hai,Road
Street road broken hai,Road
Road maintenance nahi ho raha,Road
Road par gravel pada hai,Road
Road hazard hai,Road
Dangerous road condition hai,Road
road me gaddha hai,Road 
pothole hai road par,Road 
road toot gaya hai,Road 
road condition kharab hai,Road 
road repair nahi hua,Road 
